Code,Reason,Reason Type,Application,Responsibilities,Purpose,Key Principles,Acceptable Outcomes,Remedy,Day 0,Day 3,Day 7 ,Day 10,Extra Cadence,escelation
E007,ABN/GST error,Compliance,Use when an invoice contains an inactive or missing ABN; ABN does not match supplier records; GST is charged by a non-registered supplier; or GST is missing or incorrectly calculated,Bill Processor rejects invoice with ABN/GST Issue; Supplier submits corrected invoice; Portal records actions and notifies stakeholders,Ensure invoices comply with ATO ABN and GST requirements,Valid ABN required; GST only charged by registered suppliers; non-compliant invoices rejected before processing; actions documented in Portal,Corrected invoice submitted; ABN or GST status updated,Advise invoice rejected and client notified; provide guidance on correction,Supplier: Invoice placed on hold due to ABN/GST issue; corrected invoice requested.Client: Notified invoice delayed due to supplier compliance issue.,Supplier: Reminder to submit corrected invoice.,Supplier: Final reminder; advised invoice will be rejected if unresolved.,Supplier: Invoice rejected.Client: Notified invoice rejected.,,Reject bill
E008,Calculation error,Compliance,Use when unit rates multiplied by quantities do not equal line totals; subtotal plus GST does not equal invoice total; or rounding errors create discrepancies,Bill Processor places invoice on hold; Compliance liaises with supplier; Supplier submits corrected invoice,Prevent overpayment or underpayment due to mathematical errors,Invoices must be mathematically accurate; reject only after 10 days unresolved; actions documented,Corrected invoice submitted,Reject after Day 10 and notify client,Supplier: Invoice placed on hold due to calculation error; corrected invoice requested.Client: Notified invoice delayed.,Supplier: Reminder to submit corrected invoice.,Supplier: Final reminder; advised invoice will be rejected if unresolved.,Supplier: Invoice rejected.Client: Notified invoice rejected.,,Reject bill
E009,Client name,Compliance,"Use when client name is missing, generic, illegible, misspelled, or replaced with a reference code",Bill Processor rejects invoice with Client Name Issue; Supplier submits corrected invoice,Ensure invoices are attributable to the correct client,Client name mandatory; no payment without correct identification; actions documented,Corrected invoice submitted,Advise rejection and notify client,Supplier: Invoice placed on hold due to missing or incorrect client name; corrected invoice requested.Client: Notified invoice delayed.,Supplier: Reminder to submit corrected invoice.,Supplier: Final reminder; advised invoice will be rejected if unresolved.,Supplier: Invoice rejected.Client: Notified invoice rejected.,,Reject bill
E010,Itemisation,Compliance,Use when invoice does not show service date; units or hours; unit rate; or service type per line,Bill Processor rejects invoice; Supplier submits fully itemised invoice,Ensure transparency and auditability of services,Clear itemisation required; lump sums not accepted; actions documented,Itemised invoice submitted,Advise rejection and provide itemisation guidance,Supplier: Invoice placed on hold due to insufficient itemisation; itemised invoice requested.Client: Notified invoice delayed.,Supplier: Reminder to submit itemised invoice.,Supplier: Final reminder; advised invoice will be rejected if unresolved.,Supplier: Invoice rejected.Client: Notified invoice rejected.,,Reject bill
E011,Exceeds master price list,Compliance,Use when invoice unit rate exceeds approved Support at Home price list without documented client consent,Bill Processor places invoice on hold; Compliance verifies pricing; Supplier provides acceptance or revised invoice,Protect clients from unapproved pricing,Rates must not exceed approved limits; reject after 10 days unresolved; actions documented,Approved rate confirmed or invoice corrected,Reject after Day 10 with Exceeds Master Price List,Supplier: Invoice placed on hold due to rate exceeding approved price list; evidence of client consent or revised invoice requested.Client: Notified pricing review required.,Supplier: Follow-up requesting consent evidence or corrected invoice.,Supplier: Final reminder; advised invoice will be rejected if unresolved.Client: Advised rejection pending if no resolution.,Supplier: Invoice rejected.Client: Notified invoice rejected.,,Reject bill
E020,Quarter end date,Compliance,Use when service dates fall outside the active quarterly funding period,Bill Processor verifies service date and quarter; Compliance confirms eligibility; Supplier amends invoice or confirms private billing,Ensure services are billed within correct funding quarter,Quarter dates apply strictly; reject after 10 days unresolved; actions documented,Invoice corrected to eligible quarter; private billing confirmed,Advise rejection under Quarter End Date Issue and explain quarter rules,Supplier: Invoice placed on hold due to service date outside current quarter.Client: Notified invoice under review due to quarter timing.,,Supplier: Final clarification request if service date correction possible.Client: Advised outcome pending.,Supplier: Invoice rejected if outside quarter.Client: Notified invoice rejected.,,Reject bill
E021,Funding period,Compliance,Use when service dates fall outside approved funding start or end dates or funding is exhausted,Bill Processor places invoice on hold; Compliance verifies funding status; Supplier amends invoice or confirms private billing,Prevent payment for services outside eligible funding period,Funding dates must be respected; reject after 10 days unresolved; actions documented,Invoice corrected; client elects private payment,Advise rejection under Funding Period Issue,Supplier: Invoice placed on hold due to service date outside approved funding period; amendment or confirmation of private billing requested.Client: Notified invoice delayed due to funding eligibility issue.,,,Supplier: Invoice rejected if service date remains ineligible.Client: Notified invoice rejected.,,Reject bill
E022,Supplier in progress,Compliance,Use when supplier registration is incomplete due to missing documents,Bill Processor places invoice on hold; Compliance checks outstanding requirements; Supplier completes registration,Ensure suppliers are verified before payment,Supplier registration mandatory; reject after 10 days unresolved; actions documented,Supplier completes registration and resubmits invoice,Advise rejection due to incomplete registration,Supplier: Invoice placed on hold due to incomplete supplier registration; outstanding documentation requested.Client: Notified invoice delayed due to supplier registration status.,,Supplier: Final reminder to complete registration requirements.,Supplier: Invoice rejected if registration not completed.Client: Notified invoice rejected.,,Reject bill
E023,Supplier not found,Compliance,Use when no registered supplier record is found for the provided ABN,Bill Processor places invoice on hold; Compliance attempts match; Supplier registers,Prevent payment to unverified suppliers,Supplier must be registered; reject after 10 days unresolved; actions documented,Supplier registers and resubmits invoice,Reject invoice and notify client and supplier,Supplier: Invoice placed on hold due to no registered supplier record; registration requested.Client: Notified invoice delayed due to supplier not registered.,,Supplier: Final reminder to register to enable payment.,Supplier: Invoice rejected if registration not completed.Client: Notified invoice rejected.,,Reject bill
E024,Supplier not registered for service type,Compliance,Use when supplier invoices for a service type they are not approved to provide,Bill Processor places invoice on hold; Compliance validates service registration; Supplier updates registration or amends invoice,Ensure services are delivered by authorised suppliers,Correct service registration required; reject after 10 days unresolved; actions documented,Supplier registration updated or invoice corrected,Reject under Supplier Not Registered for Service Type,Supplier: Invoice placed on hold due to supplier not approved for billed service type; registration update or revised invoice requested.Client: Notified invoice delayed due to supplier service eligibility issue.,,Supplier: Final reminder to update service registration or amend invoice.,Supplier: Invoice rejected if service type not approved.Client: Notified invoice rejected.,,Reject bill
