Reason,Description,Department_Owner,Touches_Invoice,Auto_Reject_Eligible,Cadence_Days,Has_Timeout,Bill_Processor_Action,Department_Action,Supplier_Action_Required,Possible_Outcomes,Success_Outcome,Failure_Outcome,Day_0_Comms,Day_3_Comms,Day_7_Comms,Day_10_Comms,Requires_Revalidation,Revalidation_Checks,Can_Coexist_With,Key_Principles,Examples,Notes,Comments,Requires_Resolution_Outreach
ABN/GST error,"The invoice either does not contain the correct ABN/GST information, or it is missing.",Compliance,TRUE,TRUE,10,TRUE,Place invoice on hold,N/A,"Submit corrected invoice with valid ABN and correct GST","Corrected invoice submitted, ABN/GST status updated",Corrected invoice submitted,Rejected after Day 10,"Supplier: Invoice placed on hold due to ABN/GST issue; corrected invoice requested.","Supplier: Reminder to submit corrected invoice.","Supplier: Final reminder; advised invoice will be rejected in 2 days.","Supplier: Invoice rejected. Client notified.","TRUE","funding_balance, funding_period","All except Supplier terminated","Valid ABN required; GST only charged by registered suppliers; non-compliant invoices rejected","Missing ABN on invoice; inactive ABN; GST charged by unregistered supplier",Auto-reject candidate - AI can detect missing/invalid ABN with high accuracy,Updated Detail from SAH source; changed Cadence_Days from 0 to 10 per source comms cycle,FALSE
Calculation error,"The invoiced units * rate do not match the invoice total. The subtotal + GST does not match the invoice total.",Compliance,TRUE,TRUE,10,TRUE,Place invoice on hold,Liaison with supplier,"Submit corrected invoice with accurate calculations",Corrected invoice submitted,Corrected invoice submitted,Rejected after Day 10,"Supplier: Invoice placed on hold due to calculation error; corrected invoice requested.","Supplier: Reminder to submit corrected invoice.","Supplier: Final reminder; advised invoice will be rejected in 2 days.","Supplier: Invoice rejected. Client notified.",TRUE,"funding_balance, funding_period","All except Supplier terminated","Invoices must be mathematically accurate; reject only after 10 days unresolved; actions documented","Line total doesn't match unit rate x quantity; GST calculation incorrect",Auto-reject candidate - AI can detect calculation mismatches with high accuracy,Updated Detail from SAH source,FALSE
Client name,"The invoice does not contain the client name(s)",Compliance,TRUE,TRUE,10,TRUE,Place invoice on hold,N/A,"Submit corrected invoice with correct client name",Corrected invoice submitted,Corrected invoice submitted,Rejected after Day 10,"Supplier: Invoice placed on hold due to missing or incorrect client name; corrected invoice requested.","Supplier: Reminder to submit corrected invoice.","Supplier: Final reminder; advised invoice will be rejected in 2 days.","Supplier: Invoice rejected. Client notified.",TRUE,"funding_balance, funding_period","All except Supplier terminated","Client name mandatory; no payment without correct identification; actions documented","Client name missing; generic name used; client name misspelled",Auto-reject candidate - AI can detect missing/invalid client names with high accuracy,Updated Detail from SAH source; changed Cadence_Days from 0 to 10 per source comms cycle,FALSE
Itemisation,"The invoice is not itemised to clearly display a specific service date, number of units, and/or rate.",Compliance,TRUE,TRUE,10,TRUE,Place invoice on hold,N/A,"Submit fully itemised invoice",Itemised invoice submitted,Itemised invoice submitted,Rejected after Day 10,"Supplier: Invoice placed on hold due to insufficient itemisation; itemised invoice requested.","Supplier: Reminder to submit itemised invoice.","Supplier: Final reminder; advised invoice will be rejected in 2 days.","Supplier: Invoice rejected. Client notified.",TRUE,"funding_balance, funding_period","All except Supplier terminated","Clear itemisation required; lump sums not accepted; actions documented","Lump sum invoice without line items; missing service dates; no unit rates shown",Auto-reject candidate - AI can detect missing itemization with high accuracy,Updated Detail from SAH source; changed Cadence_Days from 0 to 10 per source comms cycle,FALSE
Exceeds master price list,"Service rate or item cost exceeds Trilogy Care's master price list.",Compliance,TRUE,FALSE,10,TRUE,Place invoice on hold,Verify pricing; obtain client consent,"Provide evidence of client consent or submit revised invoice","Approved rate confirmed, Invoice corrected",Approved rate confirmed,Rejected after Day 10,"Supplier: Invoice placed on hold due to rate exceeding approved price list; consent evidence or corrected invoice requested.","Supplier: Follow-up requesting consent evidence or corrected invoice.","Supplier: Final reminder; advised invoice will be rejected.","Supplier: Invoice rejected. Client notified.",TRUE,"funding_balance, funding_period","All except Supplier terminated","Rates must not exceed approved limits; reject after 10 days unresolved; actions documented","Rate $50/hr when approved rate is $40/hr; no client consent documented",Requires human review to compare against price list,No change,TRUE
Quarter end date,"The invoice was received after the cut off date for the quarter. NOTE: Hard limit 60 days.",Compliance,TRUE,FALSE,10,TRUE,Verify service date and quarter,Confirm eligibility,"Amend invoice to eligible quarter or confirm private billing","Invoice corrected to eligible quarter, Private billing confirmed",Invoice corrected,Rejected after Day 10,"Supplier: Invoice placed on hold due to service date outside current quarter.","Supplier: Final clarification request if service date contested.","Supplier: Invoice rejected if outside eligible quarter.","",TRUE,funding_period,"All except Supplier terminated","Quarter dates apply strictly; reject after 10 days unresolved; actions documented","Service provided in Q2 but invoiced in Q3 funding period",May require care partner review to confirm quarter boundaries,Updated Detail with hard limit note from SAH source,FALSE
Funding period,"The invoice was received outside the funding period for a short-term funding stream.",Compliance,TRUE,FALSE,10,TRUE,Place invoice on hold,Verify funding status,"Amend invoice or confirm private billing","Invoice corrected, Client elects private payment",Invoice corrected,Rejected after Day 10,"Supplier: Invoice placed on hold due to service date outside approved funding period.","Supplier: Invoice rejected if service date outside funding period.","","",TRUE,funding_period,"All except Supplier terminated","Funding dates must be respected; reject after 10 days unresolved; actions documented","Service provided before funding start date; service after funding end date","Related to Quarter end date but broader - covers entire funding period",No change,FALSE
Supplier in progress,"The supplier profile is in the stage [New provider, information requested, missing docs, information received, and brokering]",Compliance,FALSE,FALSE,10,TRUE,Place invoice on hold,Check outstanding requirements,"Complete supplier registration","Supplier completes registration and resubmits invoice",Registration completed,Rejected after Day 10,"Supplier: Invoice placed on hold due to incomplete supplier registration; completion requested.","Supplier: Final reminder to complete registration.","Supplier: Invoice rejected if registration incomplete.","",FALSE,N/A,"Supplier not found","Supplier registration mandatory; reject after 10 days unresolved; actions documented","Missing insurance documents; ABN verification pending; bank details not provided","Contextual hold - invoice itself is fine but supplier status blocks payment",Updated Detail from SAH source with specific stages,FALSE
Supplier not found,"A supplier with a matching ABN cannot be identified.",Compliance,FALSE,FALSE,10,TRUE,Place invoice on hold,Attempt match,"Register as supplier","Supplier registers and resubmits invoice",Supplier registered,Rejected after Day 10,"Supplier: Invoice placed on hold due to no registered supplier record; registration requested.","Supplier: Final reminder to register to enable payment.","Supplier: Invoice rejected if registration not completed.","",FALSE,N/A,"Supplier in progress","Supplier must be registered; reject after 10 days unresolved; actions documented","ABN not found in system; new supplier not yet onboarded","Contextual hold - invoice itself is fine but supplier doesn't exist in system",No change,FALSE
Supplier not registered for service type,"The services provided section on the supplier profile does not contain the relevant service type",Compliance,FALSE,FALSE,10,TRUE,Place invoice on hold,Validate service registration,"Update registration or amend invoice","Supplier registration updated, Invoice corrected",Registration updated,Rejected after Day 10,"Supplier: Invoice placed on hold due to supplier not approved for billed service type; update requested.","Supplier: Final reminder to update service registration.","Supplier: Invoice rejected if service type not registered.","",FALSE,N/A,All,"Correct service registration required; reject after 10 days unresolved; actions documented","Supplier registered for cleaning but invoicing for nursing; service type mismatch","Contextual hold - could be resolved by updating supplier registration",Updated Detail from SAH source,FALSE
Supplier performance improvement,"The supplier is in the stage [suspended]",Compliance,FALSE,FALSE,NULL,FALSE,Place invoice on hold,Manage performance process,N/A,"Performance issue resolved, Supplier restricted",Performance resolved,Supplier remains suspended,"Supplier: Invoice placed on hold due to active performance improvement process.","","","Supplier: Invoice rejected if supplier remains suspended.",FALSE,N/A,"Supplier terminated","Client safety priority; evidence-based escalation; actions documented","Supplier under investigation for quality issues; active PIP in place","No fixed timeframe - duration determined by Compliance/Quality team",Updated Detail from SAH source with specific stage,FALSE
Supplier price increase,"The rate on the invoice exceeds the amount on the supplier's price list.",Compliance,TRUE,FALSE,10,TRUE,Place invoice on hold,"Verify pricing; obtain client consent","Provide evidence of client consent or submit revised invoice","Client approves rate, Invoice corrected",Client approved rate,Rejected after Day 10,"Supplier: Invoice placed on hold due to unapproved price increase; consent or corrected invoice requested.","Supplier: Final reminder to provide consent or corrected invoice.","Supplier: Invoice rejected if no consent provided.","",TRUE,"funding_balance, funding_period","Exceeds master price list","Client approval required; reject after 10 days unresolved; actions documented","Rate increase from $40/hr to $50/hr without client consent documented","May allow additional time if client engagement is active",No change,TRUE
Supplier terminated,"The supplier is in the stage [Expired/terminated, and not verified]",Compliance,TRUE,TRUE,0,TRUE,Reject invoice,"Confirm termination; support client transition","Contact client for alternative provider; cannot resubmit for post-termination dates","Invoice corrected for eligible dates only, Client transitions supplier","Invoice corrected for pre-termination dates",Rejected immediately,"Supplier: Invoice cannot proceed due to supplier termination status; invoice rejected for post-termination service dates.","","","Supplier: Invoice rejected if service dates post-termination.",TRUE,funding_period,"None - overrides all other reasons","No payment after termination date; immediate rejection if post-termination; actions documented","Service provided after supplier contract terminated; supplier relationship ended","Should dominate communication - other issues become irrelevant",Updated Detail from SAH source with specific stages,FALSE
Itemisation required for contribution categories,"Multiple service types across contribution categories are bundled together without itemisation.",Compliance,TRUE,TRUE,0,TRUE,Reject invoice,N/A,"Submit fully itemised invoice with services separated by contribution category",Fully itemised invoice submitted,Itemised invoice submitted,Rejected immediately,"Supplier: Invoice rejected due to services bundled across contribution categories; itemised invoice required.","","","",TRUE,"funding_balance, funding_period",Itemisation,"Itemisation mandatory across contribution categories; no interpretation of bundled charges","Services from different contribution categories grouped as single line item","Auto-reject candidate - related to general itemisation requirement",No change,FALSE
Travel or transport not itemised,"Transport charges are unclear, bundled, or incorrectly billed",Compliance,TRUE,FALSE,10,TRUE,Place invoice on hold or reject,N/A,"Submit corrected invoice with transport properly itemised",Corrected invoice submitted,Corrected invoice submitted,Rejected after Day 10,"Supplier: Invoice placed on hold due to incorrect or unclear transport charges; corrected invoice requested.","Supplier: Final reminder to submit corrected invoice.","Supplier: Invoice rejected if transport not itemised.","",TRUE,"funding_balance, funding_period",Itemisation,"Transport must be itemised; staff travel not claimable; reject after 10 days unresolved","Transport bundled with service charges; staff travel charged to client incorrectly","Related to itemisation but specifically for transport/travel",No change,FALSE
